Pclass,Sex,Age,SibSp,Parch,Cabin,Embarked,Survived
Class1,female,21To40,1SibSp,0Parch,C85,C,Yes
Class1,female,21To40,1SibSp,0Parch,C123,S,Yes
Class1,male,41To60,0SibSp,0Parch,E46,S,No
Class3,female,1To20,1SibSp,1Parch,G6,S,Yes
Class1,female,41To60,0SibSp,0Parch,C103,S,Yes
Class2,male,21To40,0SibSp,0Parch,D56,S,Yes
Class1,male,21To40,0SibSp,0Parch,A6,S,Yes
Class1,male,1To20,3SibSp,2Parch,C23 C25 C27,S,No
Class1,female,41To60,1SibSp,0Parch,D33,C,Yes
Class1,male,MoreThan60,0SibSp,1Parch,B30,C,No
Class1,male,41To60,1SibSp,0Parch,C83,S,No
Class2,female,21To40,0SibSp,0Parch,F33,S,Yes
Class3,male,21To40,0SibSp,0Parch,F G73,S,No
Class1,female,21To40,3SibSp,2Parch,C23 C25 C27,S,Yes
Class1,male,41To60,1SibSp,0Parch,E31,S,No
Class1,male,MoreThan60,0SibSp,0Parch,A5,C,No
Class1,male,21To40,0SibSp,1Parch,D10 D12,C,Yes
Class1,male,21To40,0SibSp,1Parch,D26,S,No
Class1,male,41To60,0SibSp,0Parch,C110,S,No
Class1,male,21To40,0SibSp,1Parch,B58 B60,C,No
Class2,female,21To40,0SibSp,0Parch,E101,S,Yes
Class1,male,41To60,0SibSp,1Parch,D26,S,No
Class1,female,1To20,0SibSp,2Parch,D47,S,Yes
Class1,male,21To40,1SibSp,0Parch,C123,S,No
Class1,male,21To40,0SibSp,0Parch,B86,C,No
Class2,male,21To40,0SibSp,2Parch,F2,S,No
Class1,female,21To40,1SibSp,0Parch,C2,S,Yes
Class1,male,MoreThan60,0SibSp,0Parch,B19,S,No
Class1,male,41To60,0SibSp,0Parch,A7,C,No
Class1,female,41To60,0SibSp,0Parch,C49,C,No
Class2,male,1To20,2SibSp,1Parch,F4,S,Yes
Class2,male,1To20,1SibSp,1Parch,F2,S,Yes
Class1,female,41To60,0SibSp,0Parch,B4,C,Yes
Class1,female,41To60,0SibSp,0Parch,B80,C,Yes
Class3,female,1To20,0SibSp,1Parch,G6,S,No
Class1,male,21To40,0SibSp,0Parch,A31,C,Yes
Class1,female,21To40,1SibSp,0Parch,D36,C,Yes
Class1,female,21To40,0SibSp,0Parch,D15,C,Yes
Class1,male,21To40,1SibSp,0Parch,C93,S,Yes
Class1,female,21To40,1SibSp,0Parch,C83,S,Yes
Class1,male,41To60,2SibSp,0Parch,C78,Q,No
Class1,male,21To40,1SibSp,1Parch,D35,S,Yes
Class3,female,21To40,1SibSp,1Parch,G6,S,No
Class1,male,MoreThan60,0SibSp,0Parch,C87,S,No
Class1,female,21To40,0SibSp,0Parch,B77,S,Yes
Class1,male,41To60,1SibSp,1Parch,E67,S,No
Class1,male,21To40,0SibSp,0Parch,B94,S,No
Class1,female,41To60,0SibSp,1Parch,C125,S,Yes
Class1,female,21To40,0SibSp,0Parch,C99,S,Yes
Class1,male,21To40,0SibSp,1Parch,C118,C,No
Class1,female,MoreThan60,1SibSp,0Parch,D7,S,Yes
Class1,female,1To20,1SibSp,0Parch,B49,C,Yes
Class2,male,21To40,0SibSp,0Parch,D,C,No
Class1,female,1To20,1SibSp,2Parch,C22 C26,S,No
Class1,female,41To60,0SibSp,1Parch,B58 B60,C,Yes
Class1,male,1To20,1SibSp,2Parch,C22 C26,S,Yes
Class1,female,1To20,1SibSp,0Parch,C65,C,Yes
Class1,female,21To40,0SibSp,0Parch,E36,C,Yes
Class1,female,21To40,0SibSp,0Parch,C54,C,Yes
Class1,female,1To20,2SibSp,2Parch,B57 B59 B63 B66,C,Yes
Class1,female,21To40,0SibSp,2Parch,C7,S,Yes
Class1,female,21To40,1SibSp,1Parch,E34,C,Yes
Class1,female,21To40,0SibSp,0Parch,C32,C,Yes
Class2,female,21To40,0SibSp,0Parch,D,S,Yes
Class1,female,1To20,0SibSp,1Parch,B18,C,Yes
Class1,male,41To60,0SibSp,0Parch,C124,S,No
Class1,male,21To40,0SibSp,1Parch,C91,S,No
Class1,male,21To40,1SibSp,0Parch,C2,S,No
Class1,female,41To60,0SibSp,0Parch,E40,C,Yes
Class1,male,41To60,0SibSp,0Parch,T,S,No
Class2,male,1To20,1SibSp,1Parch,F2,S,Yes
Class1,female,21To40,3SibSp,2Parch,C23 C25 C27,S,Yes
Class2,female,21To40,0SibSp,0Parch,F33,S,Yes
Class1,female,21To40,0SibSp,1Parch,E33,S,Yes
Class1,female,41To60,1SibSp,0Parch,D37,C,Yes
Class1,female,21To40,0SibSp,0Parch,B35,C,Yes
Class1,male,21To40,1SibSp,0Parch,E50,C,Yes
Class1,male,21To40,0SibSp,2Parch,C82,C,No
Class1,male,21To40,1SibSp,2Parch,B96 B98,S,Yes
Class1,female,21To40,1SibSp,0Parch,D36,C,Yes
Class3,female,21To40,0SibSp,2Parch,G6,S,Yes
Class1,female,21To40,1SibSp,0Parch,C78,Q,Yes
Class3,male,21To40,0SibSp,0Parch,E10,S,Yes
Class1,male,21To40,0SibSp,0Parch,C52,S,Yes
Class1,male,41To60,1SibSp,0Parch,E44,S,No
Class1,female,1To20,1SibSp,2Parch,B96 B98,S,Yes
Class1,male,MoreThan60,1SibSp,4Parch,C23 C25 C27,S,No
Class1,male,1To20,0SibSp,2Parch,A34,S,Yes
Class1,male,41To60,0SibSp,0Parch,C104,S,Yes
Class1,male,21To40,0SibSp,0Parch,C111,C,No
Class1,male,41To60,1SibSp,0Parch,C92,C,Yes
Class1,male,MoreThan60,0SibSp,0Parch,E38,S,No
Class1,male,41To60,0SibSp,0Parch,E12,S,Yes
Class1,male,41To60,0SibSp,0Parch,E63,S,No
Class2,female,21To40,0SibSp,0Parch,D,C,Yes
Class1,male,21To40,1SibSp,0Parch,B49,C,Yes
Class1,female,21To40,1SibSp,0Parch,C93,S,Yes
Class1,male,41To60,0SibSp,0Parch,B37,C,No
Class1,male,41To60,0SibSp,0Parch,C30,S,No
Class1,female,41To60,1SibSp,0Parch,D20,C,Yes
Class1,female,21To40,1SibSp,2Parch,C22 C26,S,No
Class1,female,1To20,0SibSp,0Parch,B79,S,Yes
Class1,male,1To20,1SibSp,0Parch,C65,C,No
