Category,Rating,Reviews,Size,Type,Installs
ART_AND_DESIGN,4.1To5.0,0To9.9K,1MTo25M,Free,100KTo0.9M
ART_AND_DESIGN,4.1To5.0,0To9.9K,VariesWithDevice,Free,100KTo0.9M
ART_AND_DESIGN,NaN,0To9.9K,1MTo25M,Free,100KTo0.9M
ART_AND_DESIGN,4.1To5.0,0To9.9K,MoreLessThan1M,Free,0To100K
ART_AND_DESIGN,4.1To5.0,0To9.9K,1MTo25M,Free,0To100K
ART_AND_DESIGN,4.1To5.0,10KTo49K,MoreLessThan1M,Free,100KTo0.9M
ART_AND_DESIGN,4.1To5.0,0To9.9K,1MTo25M,Free,100KTo0.9M
ART_AND_DESIGN,3.1To4.0,0To9.9K,1MTo25M,Free,0To100K
ART_AND_DESIGN,4.1To5.0,0To9.9K,VariesWithDevice,Free,100KTo0.9M
ART_AND_DESIGN,4.1To5.0,0To9.9K,VariesWithDevice,Free,100KTo0.9M
ART_AND_DESIGN,4.1To5.0,0To9.9K,VariesWithDevice,Free,0To100K
ART_AND_DESIGN,4.1To5.0,0To9.9K,1MTo25M,Free,100KTo0.9M
ART_AND_DESIGN,4.1To5.0,0To9.9K,1MTo25M,Free,100KTo0.9M
ART_AND_DESIGN,4.1To5.0,0To9.9K,VariesWithDevice,Free,0To100K
ART_AND_DESIGN,3.1To4.0,0To9.9K,VariesWithDevice,Free,100KTo0.9M
ART_AND_DESIGN,4.1To5.0,0To9.9K,MoreLessThan1M,Free,100KTo0.9M
ART_AND_DESIGN,4.1To5.0,10KTo49K,VariesWithDevice,Free,1MTo9.9M
ART_AND_DESIGN,4.1To5.0,0To9.9K,1MTo25M,Free,0To100K
ART_AND_DESIGN,3.1To4.0,0To9.9K,1MTo25M,Free,100KTo0.9M
ART_AND_DESIGN,4.1To5.0,0To9.9K,1MTo25M,Free,0To100K
ART_AND_DESIGN,4.1To5.0,0To9.9K,1MTo25M,Free,100KTo0.9M
