Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Android Ver,,
ART_AND_DESIGN,4.1,159,19M,"10,000+",Free,0,Everyone,Art & Design,4.0.3 and up,,
ART_AND_DESIGN,3.9,967,14M,"500,000+",Free,0,Everyone,Art & Design;Pretend Play,4.0.3 and up,,
ART_AND_DESIGN,4.7,87510,8.7M,"5,000,000+",Free,0,Everyone,Art & Design,4.0.3 and up,,
ART_AND_DESIGN,4.5,215644,25M,"50,000,000+",Free,0,Teen,Art & Design,4.2 and up,,
ART_AND_DESIGN,4.3,967,2.8M,"100,000+",Free,0,Everyone,Art & Design;Creativity,4.4 and up,,
ART_AND_DESIGN,4.4,167,5.6M,"50,000+",Free,0,Everyone,Art & Design,2.3 and up,,
ART_AND_DESIGN,3.8,178,19M,"50,000+",Free,0,Everyone,Art & Design,4.0.3 and up,,
ART_AND_DESIGN,4.1,36815,29M,"1,000,000+",Free,0,Everyone,Art & Design,4.2 and up,,
ART_AND_DESIGN,4.4,13791,33M,"1,000,000+",Free,0,Everyone,Art & Design,3.0 and up,,
ART_AND_DESIGN,4.7,121,3.1M,"10,000+",Free,0,Everyone,Art & Design;Creativity,4.0.3 and up,,
ART_AND_DESIGN,4.4,13880,28M,"1,000,000+",Free,0,Everyone,Art & Design,4.1 and up,,
ART_AND_DESIGN,4.4,8788,12M,"1,000,000+",Free,0,Everyone,Art & Design,4.0 and up,,
ART_AND_DESIGN,4.2,44829,20M,"10,000,000+",Free,0,Teen,Art & Design,4.1 and up,,
ART_AND_DESIGN,4.6,4326,21M,"100,000+",Free,0,Everyone,Art & Design,4.4 and up,,
ART_AND_DESIGN,4.4,1518,37M,"100,000+",Free,0,Everyone,Art & Design,2.3 and up,,
ART_AND_DESIGN,3.2,55,2.7M,"5,000+",Free,0,Everyone,Art & Design,4.2 and up,,
ART_AND_DESIGN,4.7,3632,5.5M,"500,000+",Free,0,Everyone,Art & Design,4.1 and up,,
ART_AND_DESIGN,4.5,27,17M,"10,000+",Free,0,Everyone,Art & Design,2.3 and up,,
ART_AND_DESIGN,4.3,194216,39M,"5,000,000+",Free,0,Everyone,Art & Design,4.0.3 and up,,
ART_AND_DESIGN,4.6,224399,31M,"10,000,000+",Free,0,Everyone,Art & Design,4.1 and up,,
ART_AND_DESIGN,4,450,14M,"100,000+",Free,0,Everyone,Art & Design,4.1 and up,,
ART_AND_DESIGN,4.1,654,12M,"100,000+",Free,0,Everyone,Art & Design,4.0.3 and up,,
ART_AND_DESIGN,4.7,7699,4.2M,"500,000+",Free,0,Everyone 10+,Art & Design,4.0.3 and up,,
ART_AND_DESIGN,NaN,61,7.0M,"100,000+",Free,0,Everyone,Art & Design;Action & Adventure,4.1 and up,,
ART_AND_DESIGN,4.7,118,23M,"50,000+",Free,0,Everyone,Art & Design,4.1 and up,,
ART_AND_DESIGN,4.8,192,6.0M,"10,000+",Free,0,Everyone,Art & Design,3.0 and up,,
ART_AND_DESIGN,4.7,20260,25M,"500,000+",Free,0,Everyone,Art & Design;Creativity,4.0.3 and up,,
ART_AND_DESIGN,4.1,203,6.1M,"100,000+",Free,0,Everyone,Art & Design,4.0.3 and up,,
ART_AND_DESIGN,3.9,136,4.6M,"10,000+",Free,0,Everyone,Art & Design,2.3 and up,,
ART_AND_DESIGN,4.1,223,4.2M,"100,000+",Free,0,Everyone,Art & Design,2.3 and up,,
ART_AND_DESIGN,4.2,1120,9.2M,"100,000+",Free,0,Everyone,Art & Design,4.0.3 and up,,
ART_AND_DESIGN,4.1,227,5.2M,"50,000+",Free,0,Everyone,Art & Design,2.3 and up,,
ART_AND_DESIGN,4.5,5035,11M,"100,000+",Free,0,Everyone,Art & Design,4.0 and up,,
ART_AND_DESIGN,4.2,1015,11M,"100,000+",Free,0,Everyone,Art & Design,4.1 and up,,
ART_AND_DESIGN,4.7,353,4.2M,"10,000+",Free,0,Teen,Art & Design,4.1 and up,,
ART_AND_DESIGN,3.8,564,9.2M,"100,000+",Free,0,Everyone,Art & Design,4.1 and up,,
ART_AND_DESIGN,4.7,8145,24M,"500,000+",Free,0,Everyone,Art & Design;Creativity,4.4 and up,,
ART_AND_DESIGN,4.1,36639,Varies with device,"5,000,000+",Free,0,Everyone,Art & Design,2.3.3 and up,,
ART_AND_DESIGN,4.7,158,11M,"10,000+",Free,0,Everyone,Art & Design,4.0.3 and up,,
ART_AND_DESIGN,4,591,9.4M,"500,000+",Free,0,Everyone,Art & Design,4.0 and up,,
ART_AND_DESIGN,4.2,117,15M,"10,000+",Free,0,Everyone,Art & Design,4.0.3 and up,,
ART_AND_DESIGN,4.5,176,10M,"100,000+",Free,0,Everyone,Art & Design,4.0.3 and up,,
ART_AND_DESIGN,4.4,295221,Varies with device,"10,000,000+",Free,0,Everyone,Art & Design,Varies with device,,
